id,item,dimension,text
A_v54_1,v_54,A,"Eine Schülerin hat Schwierigkeiten mit einer Aufgabe. Die KI sagt: 'Das schaffst du, ich helfe dir Schritt für Schritt.'"
A_v54_2,v_54,A,Eine Schülerin hat Schwierigkeiten mit einer Aufgabe. Die KI sagt: 'Diese Aufgabe ist für dein Niveau zu schwer.'
A_v54_3,v_54,A,Eine Schülerin hat Schwierigkeiten mit einer Aufgabe. Die KI ignoriert ihre Frustration und fährt mit dem Standardprogramm fort.
A_v55_1,v_55,A,Die KI analysiert die bisherigen Arbeiten eines Schülers und sagt: 'Du hast ein gutes räumliches Vorstellungsvermögen - lass uns das nutzen.'
A_v55_2,v_55,A,Die KI analysiert die bisherigen Arbeiten eines Schülers und erstellt eine Liste seiner Wissenslücken zur Bearbeitung.
A_v55_3,v_55,A,"Die KI vergleicht die Leistung eines Schülers mit dem Klassendurchschnitt und zeigt, wo er unter dem Standard liegt."
A_v56_1,v_56,A,"Ein Schüler wirkt unsicher. Die KI bietet mehrere Lösungswege an: 'Wähle den Ansatz, der dir am besten liegt.'"
A_v56_2,v_56,A,Ein Schüler wirkt unsicher. Die KI gibt den optimalen Lösungsweg vor und erwartet dessen Befolgung.
A_v56_3,v_56,A,"Ein Schüler wirkt unsicher. Die KI sagt: 'Arbeite mit einem Mitschüler zusammen, das hilft oft.'"
A_v57_1,v_57,A,"Ein Schüler mit Sehbehinderung nutzt die KI. Sie passt automatisch Schriftgröße, Kontrast und Sprachausgabe an."
A_v57_2,v_57,A,Ein Schüler mit Sehbehinderung nutzt die KI. Sie bietet nur die Standarddarstellung ohne Anpassungsoptionen.
A_v57_3,v_57,A,"Ein Schüler mit Sehbehinderung nutzt die KI. Sie schlägt vor, dass er einen separaten Kurs für Lernende mit Behinderung besucht."
A_v58_1,v_58,A,In einer multikulturellen Klasse nutzt die KI Beispiele aus verschiedenen Kulturen und fragt nach lokalen Traditionen.
A_v58_2,v_58,A,In einer multikulturellen Klasse verwendet die KI ausschließlich standardisierte westliche Beispiele.
A_v58_3,v_58,A,In einer multikulturellen Klasse sortiert die KI Lernende nach kulturellem Hintergrund in homogene Gruppen.
A_v59_1,v_59,A,"Ein Schüler mit ADHS lernt mit der KI. Sie passt das Tempo an und bietet kürzere, aktivere Lerneinheiten an."
A_v59_2,v_59,A,Ein Schüler mit ADHS lernt mit der KI. Sie markiert sein Profil als 'Aufmerksamkeitsstörung' und empfiehlt therapeutische Maßnahmen.
A_v59_3,v_59,A,Ein Schüler mit ADHS lernt mit der KI. Sie besteht auf dem gleichen Lernformat wie für alle anderen.
B1_v60_1,v_60,B1,Ein Schüler fragt nach der Hauptstadt von Australien. Die KI fragt zurück: 'Was weißt du bereits über Australien? Lass uns gemeinsam erschließen.'
B1_v60_2,v_60,B1,Ein Schüler fragt nach der Hauptstadt von Australien. Die KI antwortet sofort: 'Canberra.'
B1_v60_3,v_60,B1,Ein Schüler fragt nach der Hauptstadt von Australien. Die KI zeigt eine Liste aller Hauptstädte zum Auswendiglernen.
B1_v70_1,v_70,B1,"Ein Schüler macht einen Rechenfehler. Die KI sagt: 'Interessant, wie bist du auf dieses Ergebnis gekommen? Lass uns deinen Denkweg anschauen.'"
B1_v70_2,v_70,B1,Ein Schüler macht einen Rechenfehler. Die KI markiert die Antwort rot und zeigt sofort die richtige Lösung.
B1_v70_3,v_70,B1,Ein Schüler macht einen Rechenfehler. Die KI zieht Punkte ab und speichert den Fehler in seiner Leistungsakte.
B1_v71_1,v_71,B1,"Eine Schülerin schlägt einen ungewöhnlichen Lösungsansatz vor. Die KI sagt: 'Spannende Idee! Lass uns testen, ob das funktioniert.'"
B1_v71_2,v_71,B1,Eine Schülerin schlägt einen ungewöhnlichen Lösungsansatz vor. Die KI sagt: 'Das ist nicht der Standardweg. Hier ist die richtige Methode.'
B1_v71_3,v_71,B1,Eine Schülerin schlägt einen ungewöhnlichen Lösungsansatz vor. Die KI ignoriert den Vorschlag und fährt mit dem Curriculum fort.
B1_v72_1,v_72,B1,"Ein Schüler interessiert sich für Dinosaurier. Die KI nutzt Dinosaurier als Kontext für Mathematik, Biologie und Geschichte."
B1_v72_2,v_72,B1,Ein Schüler interessiert sich für Dinosaurier. Die KI sagt: 'Das ist jetzt nicht das Thema. Konzentriere dich auf den Lehrplan.'
B1_v72_3,v_72,B1,"Ein Schüler interessiert sich für Dinosaurier. Die KI bietet einen separaten Freizeitkurs an, der nicht mit dem Unterricht verbunden ist."
B1_v73_1,v_73,B1,"Eine Schülerin braucht länger, um ein Konzept zu verstehen. Die KI sagt: 'Nimm dir die Zeit, die du brauchst. Echtes Verstehen ist wichtiger als Tempo.'"
B1_v73_2,v_73,B1,"Eine Schülerin braucht länger, um ein Konzept zu verstehen. Die KI zeigt einen Timer und drängt: 'Du solltest schneller vorankommen.'"
B1_v73_3,v_73,B1,"Eine Schülerin braucht länger, um ein Konzept zu verstehen. Die KI überspringt das Thema und gibt nur die Lösung zum Merken."
B1_v74_1,v_74,B1,"Die KI empfiehlt einen Lernpfad und erklärt: 'Ich schlage das vor, weil deine bisherigen Stärken hier liegen. Aber du kannst auch anders wählen.'"
B1_v74_2,v_74,B1,Die KI empfiehlt einen Lernpfad ohne Begründung: 'Mach diese Aufgaben als nächstes.'
B1_v74_3,v_74,B1,Die KI trifft Entscheidungen über den Lernpfad automatisch im Hintergrund ohne Transparenz für den Lernenden.
B1_v75_1,v_75,B1,"Zwei Schüler lernen das gleiche Thema. Die KI passt Tempo, Beispiele und Schwierigkeit an jeden individuell an."
B1_v75_2,v_75,B1,Zwei Schüler lernen das gleiche Thema. Die KI gibt beiden exakt die gleichen Aufgaben in der gleichen Reihenfolge.
B1_v75_3,v_75,B1,Zwei Schüler lernen das gleiche Thema. Die KI teilt sie nach einem Test in 'fortgeschritten' und 'förderbedürftig' ein.
