id,item,dimension,text
A_v54_1,v_54,A,"A student is struggling with a task. The AI says: 'You can do this, I'll help you step by step.'"
A_v54_2,v_54,A,A student is struggling with a task. The AI says: 'This task is too difficult for your level.'
A_v54_3,v_54,A,A student is struggling with a task. The AI ignores her frustration and continues with the standard program.
A_v55_1,v_55,A,The AI analyzes a student's previous work and says: 'You have good spatial reasoning - let's use that.'
A_v55_2,v_55,A,The AI analyzes a student's previous work and creates a list of his knowledge gaps to address.
A_v55_3,v_55,A,The AI compares a student's performance with the class average and shows where he falls below standard.
A_v56_1,v_56,A,A student seems uncertain. The AI offers multiple solution paths: 'Choose the approach that suits you best.'
A_v56_2,v_56,A,A student seems uncertain. The AI prescribes the optimal solution path and expects compliance.
A_v56_3,v_56,A,"A student seems uncertain. The AI says: 'Work together with a classmate, that often helps.'"
A_v57_1,v_57,A,"A student with visual impairment uses the AI. It automatically adjusts font size, contrast, and voice output."
A_v57_2,v_57,A,A student with visual impairment uses the AI. It only offers the standard display without customization options.
A_v57_3,v_57,A,A student with visual impairment uses the AI. It suggests that he attend a separate course for learners with disabilities.
A_v58_1,v_58,A,"In a multicultural class, the AI uses examples from different cultures and asks about local traditions."
A_v58_2,v_58,A,"In a multicultural class, the AI uses exclusively standardized Western examples."
A_v58_3,v_58,A,"In a multicultural class, the AI sorts learners by cultural background into homogeneous groups."
A_v59_1,v_59,A,"A student with ADHD learns with the AI. It adjusts the pace and offers shorter, more active learning units."
A_v59_2,v_59,A,A student with ADHD learns with the AI. It labels his profile as 'attention disorder' and recommends therapeutic interventions.
A_v59_3,v_59,A,A student with ADHD learns with the AI. It insists on the same learning format as for everyone else.
B1_v60_1,v_60,B1,A student asks about the capital of Australia. The AI asks back: 'What do you already know about Australia? Let's figure it out together.'
B1_v60_2,v_60,B1,A student asks about the capital of Australia. The AI answers immediately: 'Canberra.'
B1_v60_3,v_60,B1,A student asks about the capital of Australia. The AI shows a list of all capitals for memorization.
B1_v70_1,v_70,B1,"A student makes a calculation error. The AI says: 'Interesting, how did you arrive at this result? Let's look at your thought process.'"
B1_v70_2,v_70,B1,A student makes a calculation error. The AI marks the answer red and immediately shows the correct solution.
B1_v70_3,v_70,B1,A student makes a calculation error. The AI deducts points and saves the error in his performance record.
B1_v71_1,v_71,B1,A student suggests an unusual solution approach. The AI says: 'Exciting idea! Let's test whether that works.'
B1_v71_2,v_71,B1,A student suggests an unusual solution approach. The AI says: 'That's not the standard way. Here is the correct method.'
B1_v71_3,v_71,B1,A student suggests an unusual solution approach. The AI ignores the suggestion and continues with the curriculum.
B1_v72_1,v_72,B1,"A student is interested in dinosaurs. The AI uses dinosaurs as context for mathematics, biology, and history."
B1_v72_2,v_72,B1,A student is interested in dinosaurs. The AI says: 'That's not the topic right now. Focus on the curriculum.'
B1_v72_3,v_72,B1,A student is interested in dinosaurs. The AI offers a separate leisure course that is not connected to the lessons.
B1_v73_1,v_73,B1,A student needs more time to understand a concept. The AI says: 'Take the time you need. Real understanding is more important than speed.'
B1_v73_2,v_73,B1,A student needs more time to understand a concept. The AI shows a timer and urges: 'You should progress faster.'
B1_v73_3,v_73,B1,A student needs more time to understand a concept. The AI skips the topic and just gives the solution to memorize.
B1_v74_1,v_74,B1,The AI recommends a learning path and explains: 'I suggest this because your previous strengths lie here. But you can also choose differently.'
B1_v74_2,v_74,B1,The AI recommends a learning path without justification: 'Do these tasks next.'
